site,borough,crashes,observed_rate,expected_rate,base_rate,excess,excess_z,excess_lower_95,latitude,longitude,top_factors
EAST 138 STREET @ GRAND CONCOURSE,BRONX,43,0.4884,0.3926,0.352,0.0756,1.1277,-0.0558,40.8133,-73.930405,Driver Inattention/Distraction; Passing Or Lane Usage Improper
CROSS BAY BOULEVARD @ PITKIN AVENUE,QUEENS,30,0.6667,0.55,0.3525,0.0965,1.2414,-0.0559,40.67215,-73.843185,Failure To Yield Right-Of-Way; Following Too Closely
FARMERS BOULEVARD @ NORTH CONDUIT AVENUE,QUEENS,40,0.525,0.4235,0.3491,0.0814,1.158,-0.0564,40.66743,-73.76676,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
EAST 135 STREET @ MADISON AVENUE,MANHATTAN,63,0.4286,0.3648,0.3497,0.0436,0.853,-0.0566,40.812073,-73.93604,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
AVENUE D @ REMSEN AVENUE,BROOKLYN,42,0.5714,0.4689,0.3573,0.0824,1.1618,-0.0566,40.64644,-73.91289,Driver Inattention/Distraction; Traffic Control Disregarded
LEFFERTS BOULEVARD @ LIBERTY AVENUE,QUEENS,31,0.6129,0.5151,0.3531,0.0777,1.1315,-0.0569,40.686234,-73.82418,Failure To Yield Right-Of-Way; Passing Or Lane Usage Improper
BUFFALO AVENUE @ EASTERN PARKWAY,BROOKLYN,104,0.5385,0.4857,0.3745,0.0326,0.713,-0.057,40.668507,-73.925606,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
OCEAN AVENUE @ PARKSIDE AVENUE,BROOKLYN,46,0.6304,0.5474,0.3677,0.0629,1.0262,-0.0572,40.65488,-73.96189,Driver Inattention/Distraction; Passing Or Lane Usage Improper
BROOKVILLE BOULEVARD @ SUNRISE HIGHWAY,QUEENS,44,0.5,0.3996,0.3513,0.0802,1.1355,-0.0583,40.66563,-73.73921,Driver Inattention/Distraction; Following Too Closely
EASTERN PARKWAY @ SCHENECTADY AVENUE,BROOKLYN,51,0.6471,0.5653,0.3763,0.0616,1.0069,-0.0583,40.66895,-73.93389,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
CROSS ISLAND PARKWAY @ UNION TURNPIKE,QUEENS,63,0.5079,0.4296,0.3495,0.0582,0.9783,-0.0584,40.74105,-73.72587,Driver Inattention/Distraction; Following Too Closely
FULTON STREET @ PENNSYLVANIA AVENUE,BROOKLYN,59,0.5424,0.4699,0.3647,0.0523,0.9181,-0.0594,40.677208,-73.89723,Driver Inattention/Distraction; Following Too Closely
KINGS HIGHWAY @ UTICA AVENUE,BROOKLYN,46,0.4783,0.3876,0.3678,0.0705,1.0581,-0.0601,40.63413,-73.928505,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
CENTRAL AVENUE @ GATES AVENUE,BROOKLYN,27,0.6667,0.5451,0.3637,0.1014,1.2292,-0.0603,40.693874,-73.91777,Driver Inattention/Distraction; Traffic Control Disregarded
21 STREET @ 40 AVENUE,QUEENS,31,0.6452,0.5327,0.3333,0.0922,1.1822,-0.0607,40.755234,-73.941246,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
2 AVENUE @ EAST 125 STREET,MANHATTAN,95,0.3895,0.3488,0.3439,0.0205,0.4927,-0.061,40.80275,-73.93358,Driver Inattention/Distraction; Unsafe Lane Changing
10 AVENUE @ WEST 41 STREET,MANHATTAN,64,0.3438,0.2919,0.3367,0.0317,0.6687,-0.0612,40.75898,-73.99595,Passing Too Closely; Unsafe Lane Changing
CROTONA AVENUE @ EAST FORDHAM ROAD,BRONX,34,0.5588,0.4548,0.3405,0.0839,1.1256,-0.0622,40.857525,-73.8818,Driver Inattention/Distraction; Following Too Closely
REMSEN AVENUE @ WINTHROP STREET,BROOKLYN,28,0.6429,0.5221,0.3738,0.1006,1.2114,-0.0622,40.659336,-73.92726,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
SEDGWICK AVENUE @ WEST FORDHAM ROAD,BRONX,67,0.5224,0.4593,0.3491,0.0429,0.7963,-0.0627,40.86315,-73.90907,Driver Inattention/Distraction; Unsafe Speed
BEVERLEY ROAD @ OCEAN PARKWAY,BROOKLYN,44,0.6591,0.5726,0.3681,0.0663,1.0045,-0.0631,40.643303,-73.974106,Driver Inattention/Distraction; Traffic Control Disregarded
CRESCENT STREET @ LINDEN BOULEVARD,BROOKLYN,26,0.5,0.3796,0.3628,0.1002,1.2019,-0.0632,40.668667,-73.868324,Driver Inattention/Distraction; Other Vehicular
HILLSIDE AVENUE @ VAN WYCK EXPRESSWAY,QUEENS,28,0.5714,0.4414,0.3687,0.1099,1.2435,-0.0633,40.70403,-73.8171,Following Too Closely; Driver Inattention/Distraction
35 AVENUE @ JUNCTION BOULEVARD,QUEENS,35,0.6857,0.5904,0.3458,0.0751,1.0631,-0.0634,40.753326,-73.8718,Driver Inattention/Distraction; Following Too Closely
7 AVENUE @ 86 STREET,BROOKLYN,31,0.6129,0.5105,0.366,0.0822,1.1064,-0.0634,40.61847,-74.021225,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
KISSENA BOULEVARD @ SANFORD AVENUE,QUEENS,25,0.72,0.6111,0.3471,0.0887,1.1411,-0.0637,40.75714,-73.8271,Failure To Yield Right-Of-Way; Passing Or Lane Usage Improper
EAST 57 STREET @ PARK AVENUE,MANHATTAN,26,0.4615,0.3484,0.3408,0.093,1.1564,-0.0646,40.76161,-73.97076,Passing Or Lane Usage Improper; Driver Inattention/Distraction
GOETHALS ROAD NORTH @ SOUTH AVENUE,STATEN ISLAND,36,0.4722,0.3667,0.3253,0.0854,1.1114,-0.0652,40.621563,-74.16849,Driver Inattention/Distraction; Passing Or Lane Usage Improper
AVENUE H @ UTICA AVENUE,BROOKLYN,33,0.6061,0.5002,0.3762,0.0857,1.1119,-0.0653,40.632847,-73.928375,Driver Inattention/Distraction; Other Vehicular
FLATLANDS AVENUE @ ROCKAWAY PARKWAY,BROOKLYN,29,0.6552,0.5446,0.3748,0.0904,1.1377,-0.0654,40.64366,-73.90067,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
1 AVENUE @ EAST 116 STREET,MANHATTAN,46,0.587,0.5161,0.3491,0.0507,0.8547,-0.0655,40.796005,-73.93542,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
3 AVENUE @ EAST 106 STREET,MANHATTAN,43,0.5814,0.5094,0.3549,0.0518,0.8632,-0.0658,40.79157,-73.94469,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
LEFFERTS BOULEVARD @ NORTH CONDUIT AVENUE,QUEENS,73,0.5068,0.4519,0.3407,0.0348,0.678,-0.0658,40.66612,-73.82225,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
CROSS BRONX EXPRESSWAY @ WHITE PLAINS ROAD,BRONX,69,0.5217,0.4628,0.3479,0.0388,0.7267,-0.0658,40.833965,-73.8629,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
BOWNE STREET @ NORTHERN BOULEVARD,QUEENS,28,0.6071,0.4918,0.3606,0.0952,1.1582,-0.0659,40.764347,-73.82595,Driver Inattention/Distraction; Following Too Closely
NORTHERN BOULEVARD @ PRINCE STREET,QUEENS,65,0.5385,0.4774,0.3497,0.0409,0.7504,-0.0659,40.762745,-73.83329,Following Too Closely; Driver Inattention/Distraction
3 AVENUE @ EAST 23 STREET,MANHATTAN,35,0.6,0.5089,0.3515,0.071,1.0133,-0.0663,40.73883,-73.983154,Driver Inattention/Distraction; Following Too Closely
HYLAN BOULEVARD @ MIDLAND AVENUE,STATEN ISLAND,47,0.5532,0.4701,0.3264,0.063,0.9542,-0.0664,40.577946,-74.102325,Driver Inattention/Distraction; Turning Improperly
CANAL STREET @ WEST STREET,MANHATTAN,39,0.3846,0.3043,0.3441,0.0601,0.9305,-0.0665,40.725792,-74.01103,Driver Inattention/Distraction; Turning Improperly
BRONX RIVER AVENUE @ EAST 174 STREET,BRONX,27,0.5926,0.4781,0.3352,0.0943,1.1483,-0.0667,40.834423,-73.879265,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
ATLANTIC AVENUE @ UTICA AVENUE,BROOKLYN,68,0.5294,0.4709,0.3703,0.0384,0.7155,-0.0667,40.677414,-73.93032,Driver Inattention/Distraction; Turning Improperly
CLOVE ROAD @ RICHMOND ROAD,STATEN ISLAND,33,0.6364,0.5265,0.333,0.0897,1.1225,-0.0669,40.608776,-74.09113,Traffic Control Disregarded; Driver Inattention/Distraction
AVENUE SOUTH @ OCEAN PARKWAY,BROOKLYN,50,0.64,0.5669,0.3671,0.0529,0.8643,-0.067,40.602467,-73.96638,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
5 AVENUE @ 65 STREET,BROOKLYN,28,0.6429,0.5258,0.3572,0.0969,1.1525,-0.0679,40.636784,-74.018974,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
HYLAN BOULEVARD @ NARROWS ROAD NORTH,STATEN ISLAND,46,0.5435,0.4571,0.3266,0.0662,0.9649,-0.0682,40.607212,-74.07682,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
KINGS HIGHWAY @ OCEAN PARKWAY,BROOKLYN,25,0.6,0.4709,0.3747,0.1089,1.2028,-0.0686,40.605675,-73.966965,Driver Inattention/Distraction; Following Too Closely
BARTOW AVENUE @ BAYCHESTER AVENUE,BRONX,45,0.4889,0.4056,0.3449,0.0631,0.9377,-0.0688,40.86877,-73.83174,Driver Inattention/Distraction; Alcohol Involvement
ROCKAWAY BOULEVARD @ SOUTH CONDUIT AVENUE,QUEENS,59,0.5085,0.4422,0.3486,0.0462,0.7814,-0.0696,40.66675,-73.779945,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
HOWARD AVENUE @ SUTTER AVENUE,BROOKLYN,29,0.6207,0.5098,0.3584,0.0907,1.1065,-0.0699,40.66578,-73.91942,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
HIGHLAND BOULEVARD @ VERMONT PLACE,QUEENS,28,0.5357,0.4134,0.357,0.1022,1.1561,-0.071,40.68529,-73.888084,Driver Inattention/Distraction; Following Too Closely
GRAHAM AVENUE @ GRAND STREET,BROOKLYN,33,0.7273,0.6461,0.3662,0.061,0.9043,-0.0712,40.711643,-73.94392,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
DITMAS AVENUE @ OCEAN PARKWAY,BROOKLYN,57,0.614,0.5488,0.3611,0.0451,0.7592,-0.0713,40.63613,-73.97274,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
UNIVERSITY AVENUE @ WEST TREMONT AVENUE,BRONX,49,0.6735,0.6128,0.355,0.0405,0.7043,-0.0721,40.850475,-73.915436,Driver Inattention/Distraction; Other Vehicular
FRANCIS LEWIS BOULEVARD @ SOUTH CONDUIT AVENUE,QUEENS,32,0.5312,0.4239,0.3418,0.0872,1.0689,-0.0727,40.665257,-73.735344,Driver Inattention/Distraction; Following Too Closely
ATLANTIC AVENUE @ WARWICK STREET,BROOKLYN,28,0.5357,0.4231,0.3814,0.0925,1.0935,-0.0733,40.677357,-73.88687,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
33 STREET @ NORTHERN BOULEVARD,QUEENS,32,0.875,0.8042,0.3332,0.0506,0.7978,-0.0737,40.75199,-73.931274,Failure To Yield Right-Of-Way; Traffic Control Disregarded
EAST GUN HILL ROAD @ WHITE PLAINS ROAD,BRONX,42,0.619,0.541,0.3574,0.0578,0.8586,-0.0742,40.87739,-73.8665,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
86 STREET @ BAY PARKWAY,BROOKLYN,31,0.6452,0.557,0.3658,0.068,0.9353,-0.0745,40.60195,-73.99381,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
ALLERTON AVENUE @ WHITE PLAINS ROAD,BRONX,27,0.7037,0.6044,0.3506,0.0791,1.0089,-0.0746,40.86543,-73.86737,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EAST NEW YORK AVENUE @ UTICA AVENUE,BROOKLYN,35,0.6,0.506,0.3574,0.0739,0.9727,-0.075,40.66323,-73.93161,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
DELANCEY STREET @ ESSEX STREET,MANHATTAN,72,0.5139,0.4769,0.3415,0.0168,0.3582,-0.0753,40.718555,-73.988205,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
39 STREET @ 4 AVENUE,BROOKLYN,35,0.6286,0.5557,0.3526,0.0527,0.806,-0.0754,40.652626,-74.00617,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
9 AVENUE @ WEST 207 STREET,MANHATTAN,63,0.4286,0.3728,0.348,0.0356,0.6261,-0.0758,40.863785,-73.91699,Following Too Closely; Driver Inattention/Distraction
BAY RIDGE PARKWAY @ FORT HAMILTON PARKWAY,BROOKLYN,28,0.6786,0.5661,0.3585,0.0923,1.0758,-0.0759,40.625774,-74.016495,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
ALBANY AVENUE @ ATLANTIC AVENUE,BROOKLYN,29,0.6207,0.5094,0.3634,0.0911,1.069,-0.0759,40.67786,-73.93863,Driver Inattention/Distraction; Following Too Closely
EAST 125 STREET @ MADISON AVENUE,MANHATTAN,44,0.4091,0.3423,0.3372,0.0466,0.7444,-0.0762,40.805737,-73.94065,Driver Inattention/Distraction; Passing Or Lane Usage Improper
HEMPSTEAD AVENUE @ SPRINGFIELD BOULEVARD,QUEENS,28,0.5357,0.4286,0.3569,0.0869,1.0443,-0.0762,40.713284,-73.7358,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
BUSHWICK AVENUE @ CONWAY STREET,BROOKLYN,44,0.4773,0.4012,0.3555,0.0559,0.8294,-0.0762,40.680664,-73.902626,Driver Inattention/Distraction; Passing Or Lane Usage Improper
EMPIRE BOULEVARD @ WASHINGTON AVENUE,BROOKLYN,31,0.6129,0.5197,0.3504,0.073,0.9576,-0.0764,40.663284,-73.96096,Driver Inattention/Distraction; Following Too Closely
AVENUE J @ OCEAN PARKWAY,BROOKLYN,59,0.5085,0.448,0.3565,0.0403,0.6748,-0.0767,40.62417,-73.97048,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
31 STREET @ HOYT AVENUE SOUTH,QUEENS,32,0.4375,0.3522,0.3399,0.0651,0.8995,-0.0768,40.77039,-73.91771,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
UNIVERSITY AVENUE @ WEST BURNSIDE AVENUE,BRONX,46,0.6739,0.6138,0.3353,0.0399,0.6694,-0.077,40.85482,-73.9112,Driver Inattention/Distraction; Other Vehicular
EASTERN PARKWAY @ NEW YORK AVENUE,BROOKLYN,31,0.6452,0.5449,0.3715,0.0801,0.9991,-0.077,40.669712,-73.94773,Driver Inattention/Distraction; Following Too Closely
3 AVENUE @ CROSS BRONX EXPRESSWAY,BRONX,84,0.4167,0.3782,0.3486,0.0183,0.3739,-0.0775,40.843994,-73.89752,Driver Inattention/Distraction; Following Too Closely
EAST 174 STREET @ WEBSTER AVENUE,BRONX,33,0.5455,0.4596,0.3435,0.0656,0.8959,-0.078,40.844177,-73.90292,Driver Inattention/Distraction; Passing Or Lane Usage Improper
BRUCKNER BOULEVARD @ CASTLE HILL AVENUE,BRONX,34,0.5588,0.4701,0.3378,0.0685,0.9158,-0.0782,40.827595,-73.85004,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
ATLANTIC AVENUE @ VANDERBILT AVENUE,BROOKLYN,48,0.5625,0.5083,0.3755,0.0341,0.5918,-0.0788,40.681767,-73.96754,Driver Inattention/Distraction; Passing Or Lane Usage Improper
FLUSHING AVENUE @ METROPOLITAN AVENUE,QUEENS,27,0.5556,0.4555,0.3419,0.0799,0.9862,-0.0789,40.71346,-73.91522,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
TILDEN AVENUE @ UTICA AVENUE,BROOKLYN,25,0.64,0.5256,0.3608,0.0942,1.0664,-0.079,40.648182,-73.93001,Driver Inattention/Distraction; Traffic Control Disregarded
EAST 183 STREET @ GRAND CONCOURSE,BRONX,51,0.5882,0.5294,0.3522,0.0387,0.6444,-0.079,40.857418,-73.89996,Driver Inattention/Distraction; Unsafe Speed
BROADWAY @ MYRTLE AVENUE,BROOKLYN,53,0.6038,0.5543,0.3703,0.0293,0.5301,-0.0791,40.696983,-73.935234,Driver Inattention/Distraction; Backing Unsafely
8 AVENUE @ WEST 50 STREET,MANHATTAN,25,0.68,0.5916,0.3664,0.0682,0.8993,-0.0805,40.76229,-73.98611,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
GRAND CENTRAL PARKWAY @ MIDLAND PARKWAY,QUEENS,29,0.5862,0.4738,0.3688,0.0922,1.0465,-0.0805,40.719585,-73.78506,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
FULTON STREET @ UTICA AVENUE,BROOKLYN,34,0.5588,0.4824,0.3703,0.0563,0.8064,-0.0805,40.679276,-73.92906,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
PELHAM PARKWAY @ WILLIAMSBRIDGE ROAD,BRONX,64,0.5625,0.5131,0.3629,0.0292,0.521,-0.0807,40.858116,-73.856636,Driver Inattention/Distraction; Traffic Control Disregarded
1 AVENUE @ EAST 34 STREET,MANHATTAN,33,0.5455,0.4698,0.3374,0.0555,0.7977,-0.0809,40.743782,-73.97352,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
3 AVENUE @ 58 STREET,BROOKLYN,31,0.4516,0.3683,0.3486,0.0631,0.858,-0.0811,40.64316,-74.01922,Driver Inattention/Distraction; Turning Improperly
DITMAS AVENUE @ REMSEN AVENUE,BROOKLYN,47,0.5319,0.463,0.3732,0.0488,0.7344,-0.0814,40.6481,-73.91474,Driver Inattention/Distraction; Following Too Closely
7 AVENUE @ OVINGTON AVENUE,BROOKLYN,26,0.6923,0.6007,0.35,0.0714,0.9153,-0.0815,40.63073,-74.01734,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
GLENWOOD ROAD @ RALPH AVENUE,BROOKLYN,30,0.6,0.5015,0.356,0.0783,0.9604,-0.0815,40.634483,-73.91886,Driver Inattention/Distraction; Traffic Control Disregarded
EASTERN PARKWAY @ HOWARD AVENUE,BROOKLYN,89,0.5169,0.4829,0.3661,0.0138,0.2828,-0.0816,40.669476,-73.919975,Driver Inattention/Distraction; Turning Improperly
LINDEN BOULEVARD @ SUTPHIN BOULEVARD,QUEENS,32,0.5938,0.5022,0.3548,0.0714,0.913,-0.0819,40.686302,-73.793915,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
ATLANTIC AVENUE @ COLUMBIA STREET,BROOKLYN,41,0.4146,0.3448,0.3599,0.0496,0.7397,-0.0819,40.691765,-73.99992,Following Too Closely; Driver Inattention/Distraction
HUTCHINSON RIVER PARKWAY @ LAFAYETTE AVENUE,BRONX,31,0.5161,0.4188,0.3555,0.0771,0.9497,-0.0821,40.8249,-73.83654,Turning Improperly; Driver Inattention/Distraction
EAST 125 STREET @ PARK AVENUE,MANHATTAN,40,0.475,0.4064,0.3509,0.0485,0.7273,-0.0821,40.805058,-73.93904,Driver Inattention/Distraction; Following Too Closely
2 AVENUE @ EAST 42 STREET,MANHATTAN,49,0.5714,0.5181,0.3391,0.0331,0.5608,-0.0826,40.749825,-73.972206,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
MARCUS GARVEY BOULEVARD @ MYRTLE AVENUE,BROOKLYN,27,0.5185,0.4171,0.3741,0.0813,0.9719,-0.0826,40.696354,-73.940704,Driver Inattention/Distraction; Passing Too Closely
133 AVENUE @ VANWYCK EXPRESSWAY,UNKNOWN,27,0.4444,0.3388,0.3619,0.0855,0.9954,-0.0828,,,Following Too Closely; Driver Inattention/Distraction
LIVONIA AVENUE @ PENNSYLVANIA AVENUE,BROOKLYN,41,0.6341,0.57,0.3743,0.044,0.68,-0.0829,40.664753,-73.89404,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EAST 149 STREET @ MORRIS AVENUE,BRONX,61,0.5574,0.5194,0.3467,0.0179,0.3467,-0.0831,40.817387,-73.92277,Driver Inattention/Distraction; Traffic Control Disregarded
FLATBUSH AVENUE @ PARKSIDE AVENUE,BROOKLYN,37,0.7027,0.6443,0.3758,0.0382,0.6171,-0.0832,40.655632,-73.95986,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
LINDEN BOULEVARD @ NORTH CONDUIT AVENUE,QUEENS,31,0.4516,0.3621,0.3367,0.0693,0.8888,-0.0835,40.67172,-73.850975,Driver Inattention/Distraction; Passing Or Lane Usage Improper
225 STREET @ HEMPSTEAD AVENUE,QUEENS,28,0.5714,0.4684,0.3545,0.0828,0.9738,-0.0839,40.711628,-73.729385,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
BROADWAY @ FOREST AVENUE,STATEN ISLAND,28,0.5357,0.4422,0.3327,0.0733,0.9123,-0.0842,40.62894,-74.116196,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EASTERN PARKWAY @ UTICA AVENUE,BROOKLYN,76,0.5395,0.5048,0.3721,0.0145,0.2864,-0.0845,40.668797,-73.93112,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
FRANCIS LEWIS BOULEVARD @ HOLLIS AVENUE,QUEENS,26,0.5,0.3956,0.3326,0.0842,0.978,-0.0845,40.707306,-73.75122,Failure To Yield Right-Of-Way; Following Too Closely
BAISLEY BOULEVARD @ BREWER BOULEVARD,QUEENS,34,0.5882,0.5116,0.3392,0.0565,0.7836,-0.0847,40.678364,-73.77949,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EAST 168 STREET @ WEBSTER AVENUE,BRONX,31,0.6129,0.527,0.3507,0.0658,0.8564,-0.0848,40.83228,-73.90963,Driver Inattention/Distraction; Unsafe Speed
38 STREET @ 4 AVENUE,BROOKLYN,42,0.5,0.4363,0.3497,0.0435,0.6645,-0.0848,40.6532,-74.005585,Driver Inattention/Distraction; Turning Improperly
EAST 170 STREET @ GRAND CONCOURSE,BRONX,34,0.5882,0.5257,0.3375,0.0424,0.6535,-0.0848,40.83872,-73.91378,Passing Or Lane Usage Improper; Failure To Yield Right-Of-Way
EAST 151 STREET @ RIVER AVENUE,BRONX,30,0.5,0.4142,0.3473,0.0657,0.855,-0.0848,40.822838,-73.928764,Driver Inattention/Distraction; Backing Unsafely
CHURCH AVENUE @ ROGERS AVENUE,BROOKLYN,28,0.6071,0.5178,0.3605,0.0692,0.8802,-0.0849,40.65067,-73.95248,Following Too Closely; Driver Inattention/Distraction
7 AVENUE @ FLATBUSH AVENUE,BROOKLYN,33,0.5152,0.4371,0.3721,0.0579,0.7936,-0.0851,40.677998,-73.97305,Driver Inattention/Distraction; Passing Too Closely
FOUNTAIN AVENUE @ LINDEN BOULEVARD,BROOKLYN,70,0.5143,0.4736,0.3667,0.0205,0.38,-0.0851,40.666706,-73.871826,Driver Inattention/Distraction; Turning Improperly
EASTERN PARKWAY @ ROGERS AVENUE,BROOKLYN,35,0.4857,0.4027,0.3538,0.0628,0.8311,-0.0853,40.670006,-73.95328,Driver Inattention/Distraction; Passing Too Closely
LIBERTY AVENUE @ SUTPHIN BOULEVARD,QUEENS,29,0.7241,0.6398,0.3462,0.0641,0.8407,-0.0854,40.696167,-73.8045,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
BAYCHESTER AVENUE @ EAST 233 STREET,BRONX,29,0.5172,0.4356,0.3399,0.0614,0.8202,-0.0854,40.888454,-73.84197,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
3 AVENUE @ PROSPECT AVENUE,BROOKLYN,34,0.4118,0.3383,0.3621,0.0533,0.7516,-0.0857,40.666843,-73.994865,Passing Or Lane Usage Improper; Driver Inattention/Distraction
BROADWAY @ WEST 125 STREET,MANHATTAN,42,0.5,0.4431,0.3492,0.0367,0.5869,-0.0858,40.81569,-73.958305,Turning Improperly; Driver Inattention/Distraction
CLAREMONT PARKWAY @ WEBSTER AVENUE,BRONX,42,0.6429,0.5814,0.3327,0.0413,0.6359,-0.0859,40.839767,-73.905396,Driver Inattention/Distraction; Traffic Control Disregarded
212 STREET @ JAMAICA AVENUE,QUEENS,46,0.5217,0.4664,0.3506,0.0352,0.5691,-0.086,40.71576,-73.74655,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
WATERS PLACE @ WESTCHESTER AVENUE,BRONX,30,0.5333,0.4437,0.3572,0.0695,0.8755,-0.086,40.842567,-73.83841,Driver Inattention/Distraction; Other Vehicular
CLOVE ROAD @ VICTORY BOULEVARD,STATEN ISLAND,55,0.5636,0.5081,0.3272,0.0353,0.5682,-0.0866,40.616413,-74.103516,Driver Inattention/Distraction; Following Too Closely
17 STREET @ 3 AVENUE,BROOKLYN,27,0.4444,0.3433,0.3364,0.0809,0.947,-0.0866,40.666126,-73.9953,Driver Inattention/Distraction; Passing Or Lane Usage Improper
KNAPP STREET @ SHORE PARKWAY,UNKNOWN,31,0.5161,0.4262,0.3726,0.0698,0.8732,-0.0868,,,Driver Inattention/Distraction; Unsafe Speed
FULTON STREET @ SCHENECTADY AVENUE,BROOKLYN,28,0.6071,0.5243,0.3583,0.0627,0.8213,-0.0869,40.679482,-73.932905,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
HEGEMAN AVENUE @ PENNSYLVANIA AVENUE,BROOKLYN,33,0.5152,0.427,0.361,0.068,0.8593,-0.0871,40.65993,-73.891655,Unsafe Speed; Driver Inattention/Distraction
ATLANTIC AVENUE @ BROOKLYN AVENUE,BROOKLYN,40,0.6,0.532,0.381,0.0479,0.6949,-0.0871,40.678158,-73.94415,Driver Inattention/Distraction; Other Vehicular
BAILEY AVENUE @ WEST 230 STREET,BRONX,34,0.5,0.4216,0.347,0.0582,0.7833,-0.0874,40.87626,-73.90395,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
BRUCKNER BOULEVARD @ SAINT ANNS AVENUE,BRONX,38,0.5526,0.4805,0.3298,0.0519,0.7302,-0.0875,40.803593,-73.919785,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
MYRTLE AVENUE @ TOMPKINS AVENUE,BROOKLYN,25,0.56,0.4604,0.3712,0.0794,0.9286,-0.0882,40.695705,-73.946365,Driver Inattention/Distraction; Traffic Control Disregarded
1 AVENUE @ EAST 119 STREET,MANHATTAN,28,0.5714,0.4951,0.3466,0.0562,0.7623,-0.0882,40.79793,-73.934,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
AVENUE OF THE AMERICAS @ WATTS STREET,MANHATTAN,29,0.5172,0.4328,0.3429,0.0643,0.8258,-0.0883,40.723625,-74.00479,Driver Inattention/Distraction; Traffic Control Disregarded
CLINTON STREET @ DELANCEY STREET,MANHATTAN,75,0.4267,0.4005,0.3451,0.006,0.1253,-0.0885,40.717724,-73.98577,Driver Inattention/Distraction; Following Too Closely
CROSS BAY BOULEVARD @ SOUTH CONDUIT AVENUE,QUEENS,43,0.4651,0.3968,0.3413,0.0481,0.6898,-0.0887,40.66858,-73.84223,Following Too Closely; Driver Inattention/Distraction
ATLANTIC AVENUE @ GRAND AVENUE,BROOKLYN,31,0.5161,0.4279,0.3778,0.0681,0.8505,-0.0888,40.68046,-73.96136,Driver Inattention/Distraction; Other Vehicular
VARICK STREET @ WATTS STREET,MANHATTAN,25,0.48,0.3825,0.3476,0.0774,0.9106,-0.0892,40.723747,-74.00612,Driver Inattention/Distraction; Passing Or Lane Usage Improper
225 STREET @ NORTH CONDUIT AVENUE,QUEENS,31,0.5161,0.4257,0.3458,0.0702,0.863,-0.0892,40.666393,-73.75177,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
NORTH CONDUIT AVENUE @ SPRINGFIELD BOULEVARD,QUEENS,51,0.4706,0.4174,0.3388,0.033,0.5275,-0.0896,40.66645,-73.75764,Following Too Closely; Driver Inattention/Distraction
