site,borough,crashes,observed_rate,expected_rate,base_rate,excess,excess_z,excess_lower_95,latitude,longitude,top_factors
EAST BAY AVENUE @ TIFFANY STREET,BRONX,25,0.48,0.3148,0.3631,0.145,1.6647,-0.0257,40.80801,-73.88961,Traffic Control Disregarded; Driver Inattention/Distraction
EAST TREMONT AVENUE @ RANDALL AVENUE,BRONX,30,0.5667,0.4188,0.3377,0.1277,1.6298,-0.0259,40.8262,-73.821686,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
COOPER AVENUE @ METROPOLITAN AVENUE,QUEENS,29,0.6207,0.472,0.3621,0.1286,1.6296,-0.0261,40.7122,-73.86208,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
BORDEN AVENUE @ MAURICE AVENUE,QUEENS,103,0.4951,0.4133,0.3349,0.0617,1.3763,-0.0262,40.727207,-73.90742,Driver Inattention/Distraction; Traffic Control Disregarded
EAST 163 STREET @ WESTCHESTER AVENUE,BRONX,33,0.6061,0.4659,0.3424,0.12,1.6083,-0.0262,40.821068,-73.89894,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
JAMAICA AVENUE @ WOODHAVEN BOULEVARD,QUEENS,75,0.5733,0.4819,0.3493,0.0712,1.4268,-0.0266,40.69366,-73.85217,Failure To Yield Right-Of-Way; Following Too Closely
EAST 233 STREET @ WEBSTER AVENUE,BRONX,88,0.5114,0.4289,0.3475,0.0623,1.3624,-0.0273,40.895374,-73.86356,Driver Inattention/Distraction; Following Too Closely
3 AVENUE @ EAST 125 STREET,MANHATTAN,41,0.5122,0.3958,0.344,0.0962,1.5245,-0.0275,40.8037,-73.93582,Driver Inattention/Distraction; Driver Inexperience
21 STREET @ BROADWAY,QUEENS,35,0.6571,0.5294,0.3496,0.1076,1.5594,-0.0276,40.765224,-73.9317,Driver Inattention/Distraction; Turning Improperly
MERRICK BOULEVARD @ SPRINGFIELD BOULEVARD,QUEENS,42,0.5952,0.4736,0.3428,0.1014,1.5378,-0.0278,40.680115,-73.75324,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
CLAY AVENUE @ WEBSTER AVENUE,BRONX,28,0.7143,0.5657,0.3573,0.1284,1.6089,-0.028,40.840878,-73.90477,Driver Inattention/Distraction; Passing Or Lane Usage Improper
EAST 161 STREET @ RIVER AVENUE,BRONX,45,0.6222,0.5084,0.3503,0.0937,1.5088,-0.028,40.827812,-73.92593,Traffic Control Disregarded; Driver Inattention/Distraction
FLUSHING AVENUE @ WILLIAMSBURG STREET WEST,BROOKLYN,41,0.6341,0.5131,0.3688,0.1009,1.532,-0.0282,40.698036,-73.962845,Driver Inattention/Distraction; Following Too Closely
AVENUE P @ CONEY ISLAND AVENUE,BROOKLYN,32,0.6875,0.5484,0.3727,0.1189,1.5731,-0.0293,40.609985,-73.96239,Driver Inattention/Distraction; Traffic Control Disregarded
